No,Result
0,4.0
0,4.0
1000000,inf
1000000,inf
2000000,inf
2000000,inf
3000000,inf
3000000,inf
4000000,inf
4000000,inf
5000000,inf
5000000,inf
6000000,inf
6000000,inf
7000000,inf
7000000,inf
8000000,inf
8000000,inf
9000000,inf
9000000,inf
10000000,inf
10000000,inf
11000000,inf
11000000,inf
12000000,inf
12000000,inf
13000000,inf
13000000,inf
14000000,inf
14000000,inf
15000000,inf
15000000,inf
16000000,inf
16000000,inf
17000000,inf
17000000,inf
18000000,inf
18000000,inf
19000000,inf
19000000,inf
20000000,inf
20000000,inf
21000000,inf
21000000,inf
22000000,inf
22000000,inf
23000000,inf
23000000,inf
24000000,inf
24000000,inf
25000000,inf
25000000,inf
26000000,inf
26000000,inf
27000000,inf
27000000,inf
28000000,inf
28000000,inf
29000000,inf
29000000,inf
30000000,inf
30000000,inf
31000000,inf
31000000,inf
32000000,inf
32000000,inf
33000000,inf
33000000,inf
34000000,inf
34000000,inf
35000000,inf
35000000,inf
36000000,inf
36000000,inf
37000000,inf
37000000,inf
38000000,inf
38000000,inf
39000000,inf
39000000,inf
40000000,inf
40000000,inf
41000000,inf
41000000,inf
42000000,inf
42000000,inf
43000000,inf
43000000,inf
44000000,inf
44000000,inf
45000000,inf
45000000,inf
46000000,inf
46000000,inf
47000000,inf
47000000,inf
48000000,inf
48000000,inf
